file,norm,fold,epoch,avg_epoch_time,train_acc,test_acc,dataset,model,declared_epochs,norm_type_header,exp
bn_0.txt,bn,0,126,0.2217,0.7602,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,127,0.2218,0.7083,0.6875,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,128,0.2218,0.7483,0.7143,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,129,0.2218,0.7612,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,130,0.2218,0.7483,0.7143,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,131,0.2218,0.7173,0.7232,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,132,0.2219,0.7443,0.7054,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,133,0.2221,0.7493,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,134,0.2221,0.7483,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,135,0.2221,0.7632,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,136,0.2221,0.7463,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,137,0.222,0.5894,0.5714,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,138,0.2221,0.6374,0.6071,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,139,0.2221,0.6713,0.6339,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,140,0.2221,0.7433,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,141,0.2221,0.7413,0.7143,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,142,0.2221,0.7702,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,143,0.2222,0.7552,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,144,0.2223,0.7373,0.7054,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,145,0.2223,0.7443,0.6964,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,146,0.2223,0.7463,0.7857,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,147,0.2223,0.7582,0.7768,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,148,0.2223,0.7542,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,149,0.2223,0.7542,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,150,0.2223,0.7512,0.7143,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,151,0.2224,0.7582,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,152,0.2224,0.7582,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,153,0.2224,0.7672,0.7857,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,154,0.2225,0.7592,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,155,0.2225,0.7662,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,156,0.2225,0.7622,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,157,0.2225,0.7612,0.7054,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,158,0.2226,0.7712,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,159,0.2226,0.7622,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
